Price,Size,Side
27873.8,0.00010986,sell
27873.74000000,0.00117000,sell
27873.73000000,0.00039000,sell
27873.68000000,0.00050000,sell
27873.54000000,0.00413000,sell
27873.46000000,0.00092000,sell
27873.4,0.00001144,sell
27873.37000000,0.00040000,sell
27873.33000000,0.00063000,sell
27873.32000000,0.00082000,sell
27873.3,0.00011895,sell
27873.29000000,0.00146000,sell
27873.18000000,0.00049000,sell
27873.17000000,0.00064000,sell
27873.14000000,0.00039000,sell
27873.01000000,0.00230000,sell
27873.00000000,0.72186000,sell
27873,0.00196737,sell
27872.96000000,0.00093000,sell
27872.9,0.00045758,sell
27872.8,0.00007709,sell
27872.72000000,0.00371000,sell
27872.7,0.0000699,sell
27872.6,0.00097661,sell
27872.51000000,0.00042000,sell
27872.5,0.00400364,sell
27872.4,0.00017939,sell
27872.38000000,0.00037000,sell
27872.37000000,0.00837000,sell
27872.36000000,0.01885000,sell
27872.35000000,0.01272000,sell
27872.34000000,0.00049000,sell
27872.31000000,0.00086000,sell
27872.30000000,0.00047000,sell
27872.3,0.00415407,sell
27872.29000000,0.00066000,sell
27872.24000000,0.00181000,sell
27872.2,0.00081382,sell
27872.1,0.0000101,sell
27872.09000000,0.00040000,sell
27872.00000000,0.01069000,sell
27872,0.00002513,sell
27871.90000000,0.00040000,sell
27871.8,0.00010586,sell
27871.75000000,0.00060000,sell
27871.7,0.00031278,sell
27871.66000000,0.00239000,sell
27871.60000000,0.00047000,sell
27871.6,0.00024335,sell
27871.56000000,0.00080000,sell
27871.5,0.00002861,sell
27871.46000000,0.00364000,sell
27871.44000000,0.00041000,sell
27871.42000000,0.00958000,sell
27871.4,0.00936338,sell
27871.3,0.0001324,sell
27871.2,0.00064324,sell
27871.18000000,0.18696000,sell
27871.17000000,0.01846000,sell
27871.14000000,0.00192000,sell
27871.05000000,0.00041000,sell
27871,0.00456948,sell
27870.97000000,0.00428000,sell
27870.96000000,0.00239000,sell
27870.9,0.00017677,sell
27870.84000000,0.00054000,sell
27870.83000000,0.00632000,sell
27870.80000000,0.00044000,sell
27870.78000000,0.00120000,sell
27870.76000000,0.00762000,sell
27870.74000000,0.00666000,sell
27870.70000000,0.00080000,sell
27870.69000000,0.00039000,sell
27870.61000000,0.07214000,sell
27870.60000000,0.00078000,sell
27870.6,1.82295429,sell
27870.58000000,0.00075000,sell
27870.5,0.00701216,sell
27870.44000000,0.00038000,sell
27870.4,0.00125011,sell
27870.3,0.00001095,sell
27870.26000000,0.00630000,sell
27870.23000000,0.00042000,sell
27870.2,0.00012962,sell
27870.15000000,0.00146000,sell
27870.1,0.00002387,sell
27870.00000000,0.53540000,sell
27870,0.00727289,sell
27869.95000000,0.00269000,sell
27869.9,3.19172555,sell
27869.75000000,0.00069000,sell
27869.65000000,0.00045000,sell
27869.64000000,0.00371000,sell
27869.56000000,0.00042000,sell
27869.5,0.0053596,sell
27869.44000000,0.00387000,sell
27869.40000000,0.00085000,sell
27869.24000000,0.00039000,sell
27869.23000000,0.00039000,sell
27869.21000000,0.00291000,sell
27869.2,0.00011976,sell
27869.19000000,0.00128000,sell
27869.17000000,0.00040000,sell
27869.10000000,0.00177000,sell
27869.03000000,0.00080000,sell
27869.00000000,0.06948000,sell
27869,0.00033718,sell
27868.99000000,0.00130000,sell
27868.95000000,0.00114000,sell
27868.9,0.00005226,sell
27868.88000000,0.00049000,sell
27868.8,0.0011315,sell
27868.75000000,0.00081000,sell
27868.6,0.00002508,sell
27868.53000000,0.00322000,sell
27868.5,0.00003225,sell
27868.48000000,0.01419000,sell
27868.42000000,0.00387000,sell
27868.4,0.01032661,sell
27868.30000000,0.00101000,sell
27868.3,0.00014462,sell
27868.23000000,0.00172000,sell
27868.15000000,0.00041000,sell
27868.14000000,0.00041000,sell
27868.13000000,0.00115000,sell
27868.1,0.00009503,sell
27868.07000000,0.00133000,sell
27868.02000000,0.00073000,sell
27868.00000000,0.00050000,sell
27868,0.00213589,sell
27867.97000000,0.00089000,sell
27867.93000000,0.00041000,sell
27867.9,0.00052244,sell
27867.87000000,0.00070000,sell
27867.83000000,0.00055000,sell
27867.8,0.00063734,sell
27867.7,0.0000226,sell
27867.61000000,0.00045000,sell
27867.56000000,0.00056000,sell
27867.54000000,0.00182000,sell
27867.50000000,0.01574000,sell
27867.49000000,0.00040000,sell
