price,size,exchange
76293.04,0.00014,Binance
76292.89,0.87689,Binance
76292.85,0.02068,Binance
76292.46,0.27526,Binance
76292.36,0.585,Binance
76292.27,0.32742,Binance
76292.1,0.00033,Binance
76292.0,0.0262,Binance
76291.77,1.17847,Binance
76291.65,7e-05,Binance
76291.52,0.03309,Binance
76291.44,7e-05,Binance
76291.34,0.0916,Binance
76290.92,0.00181,Binance
76290.73,0.03116,Binance
76290.64,0.0001,Binance
76290.31,0.00051,Binance
76290.29,0.03205,Binance
76290.13,0.03409,Binance
76290.0,0.20079,Binance
76289.78,0.07898,Binance
76289.25,0.00051,Binance
76288.81,0.85199,Binance
76288.73,0.00102,Binance
76288.0,0.06682,Binance
76287.96,0.65484,Binance
76287.89,0.03929,Binance
76287.84,0.13822,Binance
76287.69,0.52387,Binance
76287.63,0.32742,Binance
76287.5,0.0001,Binance
76287.3,0.03354,Binance
76287.18,1.17847,Binance
76286.66,0.014,Binance
76286.01,0.00051,Binance
76286.0,0.02703,Binance
76285.97,0.00351,Binance
76285.94,0.03451,Binance
76285.75,0.0076,Binance
76285.58,0.03327,Binance
76285.4,0.00014,Binance
76285.39,0.00051,Binance
76285.2,0.0001,Binance
76285.1,0.19615,Binance
76284.93,0.00194,Binance
76284.83,0.00051,Binance
76284.81,0.00051,Binance
76284.8,0.00327,Binance
76284.79,0.00051,Binance
76284.75,0.51858,Binance
76284.72,0.585,Binance
76284.32,0.00017,Binance
76284.06,0.06598,Binance
76284.05,0.00361,Binance
76284.03,7e-05,Binance
76284.0,0.03925,Binance
76283.82,7e-05,Binance
76283.67,0.12996,Binance
76283.66,0.0916,Binance
76283.32,0.03143,Binance
76283.0,0.0001,Binance
76282.69,0.03084,Binance
76282.46,0.0613,Binance
76282.0,0.3762,Binance
76281.96,7e-05,Binance
76281.95,9e-05,Binance
76281.73,0.00107,Binance
76281.24,0.0001,Binance
76281.02,0.02642,Binance
76280.83,0.32742,Binance
76280.8,0.00662,Binance
76280.72,0.00011,Binance
76280.61,0.014,Binance
76280.48,0.014,Binance
76280.33,0.014,Binance
76280.21,7e-05,Binance
76280.17,0.12488,Binance
76280.01,0.42068,Binance
76280.0,0.18458,Binance
76279.9,0.10485,Binance
76279.7,0.00105,Binance
76279.45,0.00016,Binance
76279.39,0.34413,Binance
76279.31,0.03653,Binance
76278.0,0.0262,Binance
76277.96,0.00014,Binance
76277.9,0.39302,Binance
76277.76,0.00014,Binance
76277.74,0.1679,Binance
76277.17,0.06555,Binance
76276.98,0.3005,Binance
76276.7,0.03929,Binance
76276.57,0.001,Binance
76276.52,0.585,Binance
76276.41,0.00041,Binance
76276.4,7e-05,Binance
76276.2,7e-05,Binance
76276.0,0.0262,Binance
76275.83,7e-05,Binance
76275.75,7e-05,Binance
76275.5,9e-05,Binance
76275.36,0.0001,Binance
76275.15,0.0131,Binance
76275.05,0.32742,Binance
76275.01,0.00131,Binance
76275.0,0.14145,Binance
76274.22,0.00293,Binance
76274.21,0.0916,Binance
76274.0,0.0262,Binance
76273.98,0.00105,Binance
76273.07,7e-05,Binance
76272.73,0.60498,Binance
76272.72,1.09032,Binance
76272.69,0.00011,Binance
76272.64,0.00022,Binance
76272.58,7e-05,Binance
76272.4,0.0001,Binance
76272.31,0.00011,Binance
76272.18,0.0001,Binance
76272.15,0.00013,Binance
76272.11,0.00022,Binance
76272.08,0.0146,Binance
76272.0,0.03071,Binance
76271.99,0.01893,Binance
76271.85,0.04393,Binance
76271.77,0.53428,Binance
76271.66,0.00014,Binance
76271.42,0.0001,Binance
76271.34,0.0005,Binance
76271.33,0.00018,Binance
76271.18,9e-05,Binance
76271.12,0.2621,Binance
76271.07,0.00016,Binance
76270.98,0.01461,Binance
76270.92,0.00045,Binance
76270.86,0.00019,Binance
76270.63,0.00016,Binance
76270.58,0.00164,Binance
76270.28,0.0016,Binance
76270.27,8e-05,Binance
76270.18,0.00075,Binance
76270.12,0.00014,Binance
76270.01,0.20198,Binance
76270.0,0.17074,Binance
76269.92,0.00049,Binance
76269.81,0.00016,Binance
76269.73,0.00147,Binance
76269.64,0.00031,Binance
76269.56,0.00018,Binance
76269.23,0.00011,Binance
76269.11,0.00019,Binance
76269.0,0.05112,Binance
76268.77,7e-05,Binance
76268.76,0.0001,Binance
76268.69,0.05525,Binance
76268.65,0.00026,Binance
76268.58,7e-05,Binance
76268.31,0.0001,Binance
76268.26,0.00016,Binance
76268.02,0.00013,Binance
76268.0,0.02634,Binance
76267.85,0.00011,Binance
76267.72,0.0001,Binance
76267.6,8e-05,Binance
76267.54,0.11542,Binance
76267.46,0.00015,Binance
76267.27,0.00177,Binance
76267.21,0.178,Binance
76267.16,7e-05,Binance
76267.05,0.00018,Binance
76267.0,0.00547,Binance
76266.97,0.00857,Binance
76266.9,0.00019,Binance
76266.66,0.00256,Binance
76266.56,0.00019,Binance
76266.55,0.0916,Binance
76266.29,0.00054,Binance
76266.28,0.00016,Binance
76266.15,9e-05,Binance
76266.09,0.00013,Binance
76266.04,0.00156,Binance
76266.01,0.77276,Binance
76266.0,1.51432,Binance
76265.88,0.00042,Binance
76265.77,9e-05,Binance
76265.74,0.00032,Binance
76265.73,0.18294,Binance
76265.69,9e-05,Binance
76265.65,0.02642,Binance
76265.63,0.00013,Binance
76265.5,0.585,Binance
76265.28,0.00238,Binance
76265.03,0.00022,Binance
76265.0,0.00055,Binance
76264.99,0.00014,Binance
76264.96,7e-05,Binance
76264.95,0.00019,Binance
76264.9,9e-05,Binance
76264.7,0.00027,Binance
76264.67,0.00016,Binance
76264.57,8e-05,Binance
76264.51,9e-05,Binance
76264.13,0.00236,Binance
76264.0,0.02751,Binance
76263.46,0.00229,Binance
76263.3,0.0341,Binance
76263.15,0.00051,Binance
76263.02,0.00019,Binance
76263.0,0.00167,Binance
