price,size,exchange
76432.0,0.0262,Binance
76432.66,0.01046,Binance
76432.91,7e-05,Binance
76433.64,0.00056,Binance
76433.91,0.14118,Binance
76433.99,0.3539,Binance
76434.0,0.0262,Binance
76434.58,1.29144,Binance
76434.6,0.5,Binance
76434.75,0.14146,Binance
76435.0,9e-05,Binance
76435.35,0.0916,Binance
76435.51,0.00029,Binance
76435.52,0.05598,Binance
76435.98,0.00248,Binance
76436.0,0.0262,Binance
76436.22,7e-05,Binance
76436.52,0.06698,Binance
76436.54,0.19615,Binance
76436.58,0.001,Binance
76436.73,7e-05,Binance
76436.94,0.11297,Binance
76437.14,0.06098,Binance
76437.15,0.05598,Binance
76437.26,0.11297,Binance
76437.3,0.11297,Binance
76437.37,0.11297,Binance
76437.53,0.00995,Binance
76437.56,0.00131,Binance
76437.64,0.11297,Binance
76437.68,0.11297,Binance
76437.71,0.11297,Binance
76437.94,0.0004,Binance
76438.0,0.0262,Binance
76438.2,0.01298,Binance
76438.52,1.17847,Binance
76438.54,0.585,Binance
76438.81,0.32758,Binance
76438.92,0.06698,Binance
76439.13,0.11297,Binance
76439.32,0.0001,Binance
76439.68,0.05598,Binance
76439.7,0.00066,Binance
76439.73,0.00361,Binance
76439.74,0.01,Binance
76439.76,0.00014,Binance
76439.82,0.00209,Binance
76439.85,0.09897,Binance
76439.86,0.00029,Binance
76439.93,0.06098,Binance
76440.0,0.20237,Binance
76440.55,7e-05,Binance
76440.74,0.06698,Binance
76440.78,0.06698,Binance
76440.81,0.00018,Binance
76440.82,0.00065,Binance
76441.22,0.06698,Binance
76441.39,0.05898,Binance
76441.52,0.03328,Binance
76441.9,0.03536,Binance
76442.0,0.0262,Binance
76442.09,0.06098,Binance
76442.12,0.09897,Binance
76442.39,1.17847,Binance
76442.42,0.06198,Binance
76442.47,0.02475,Binance
76442.85,0.00049,Binance
76443.32,0.06698,Binance
76443.34,0.06698,Binance
76443.59,0.03084,Binance
76443.83,0.00016,Binance
76443.84,0.06105,Binance
76443.87,0.08997,Binance
76443.89,0.00012,Binance
76443.92,0.06098,Binance
76444.0,0.02646,Binance
76444.22,0.05698,Binance
76444.38,7e-05,Binance
76444.52,0.05798,Binance
76444.6,0.06698,Binance
76444.65,0.04379,Binance
76444.79,0.09897,Binance
76444.83,0.05998,Binance
76444.97,0.0001,Binance
76445.11,0.06098,Binance
76445.4,0.0916,Binance
76445.43,0.06698,Binance
76445.44,0.12896,Binance
76445.55,0.00011,Binance
76445.69,0.05798,Binance
76445.84,0.013,Binance
76445.99,0.09998,Binance
76446.0,0.0262,Binance
76446.15,8e-05,Binance
76446.18,0.585,Binance
76446.45,0.03536,Binance
76446.49,0.03451,Binance
76446.53,0.05798,Binance
76446.57,0.06098,Binance
76446.75,0.19334,Binance
76446.78,0.06698,Binance
76446.79,0.08997,Binance
76446.94,0.03407,Binance
76446.97,0.0001,Binance
76447.12,0.05998,Binance
76447.38,0.12464,Binance
76447.4,0.00818,Binance
76447.52,0.09097,Binance
76447.55,0.03667,Binance
76447.57,0.06898,Binance
76447.7,0.13307,Binance
76447.84,0.09097,Binance
76447.87,0.05798,Binance
76447.97,0.05798,Binance
76448.0,0.0262,Binance
76448.15,0.12696,Binance
76448.2,7e-05,Binance
76448.74,0.03363,Binance
76448.84,0.06698,Binance
76448.87,0.05798,Binance
76448.88,0.06698,Binance
76449.02,0.0787,Binance
76449.08,0.06098,Binance
76449.14,0.06698,Binance
76449.39,0.06898,Binance
76449.42,0.04453,Binance
76449.53,0.08997,Binance
76449.55,0.04584,Binance
76449.62,0.04584,Binance
76449.68,0.09097,Binance
76449.89,0.09097,Binance
76450.0,0.06939,Binance
76450.27,0.09097,Binance
76450.63,0.04453,Binance
76450.68,0.06898,Binance
76451.0,0.09998,Binance
76451.14,0.05798,Binance
76451.46,7e-05,Binance
76451.61,0.00036,Binance
76451.62,0.13396,Binance
76451.64,0.06698,Binance
76451.72,0.12,Binance
76451.79,0.39302,Binance
76451.96,0.10365,Binance
76452.0,0.0262,Binance
76452.02,7e-05,Binance
76452.04,0.08997,Binance
76452.06,0.09097,Binance
76452.14,0.09097,Binance
76452.17,0.0207,Binance
76452.29,0.03667,Binance
76452.46,0.03536,Binance
76452.56,0.02864,Binance
76452.63,0.0001,Binance
76452.66,0.12,Binance
76452.7,0.12,Binance
76452.78,0.06898,Binance
76452.8,0.09897,Binance
76452.91,0.03565,Binance
76452.95,0.03928,Binance
76453.05,0.04453,Binance
76453.12,0.00154,Binance
76453.13,0.00203,Binance
76453.2,0.09097,Binance
76453.3,0.06698,Binance
76453.38,0.04453,Binance
76453.48,0.01299,Binance
76453.56,0.06498,Binance
76453.58,0.03536,Binance
76453.82,0.585,Binance
76453.83,0.26147,Binance
76453.95,0.00012,Binance
76454.0,0.0262,Binance
76454.03,9e-05,Binance
76454.07,0.04453,Binance
76454.16,0.04584,Binance
76454.24,0.04584,Binance
76454.27,0.00014,Binance
76454.4,0.09998,Binance
76454.54,0.09111,Binance
76454.62,0.0001,Binance
76454.73,0.06898,Binance
76454.8,0.00013,Binance
76454.92,0.08997,Binance
76455.14,0.06898,Binance
76455.21,0.10098,Binance
76455.23,0.04453,Binance
76455.29,0.06698,Binance
76455.31,0.06698,Binance
76455.37,0.09097,Binance
76455.45,0.12429,Binance
76455.61,0.04584,Binance
76455.67,0.09097,Binance
76455.84,7e-05,Binance
76455.86,0.0916,Binance
76455.91,0.09097,Binance
76455.97,0.06698,Binance
76456.0,0.0262,Binance
76456.01,0.00395,Binance
76456.06,0.09098,Binance
76456.3,0.09897,Binance
76456.31,0.00015,Binance
76456.69,0.03667,Binance
76456.7,0.03667,Binance
76456.71,0.06898,Binance
76456.82,0.03798,Binance
76456.92,0.00011,Binance
76456.99,0.08998,Binance
76457.03,0.12493,Binance
76457.08,0.09098,Binance
76457.09,0.04453,Binance
76457.34,0.06898,Binance
76457.52,0.09998,Binance
76457.55,0.03536,Binance
76457.81,0.04453,Binance
76457.9,0.002,Binance
76457.92,0.08997,Binance
76458.0,0.0262,Binance
76458.04,0.1385,Binance
76458.05,0.00131,Binance
76458.08,0.04453,Binance
76458.15,0.04453,Binance
76458.22,0.04453,Binance
76458.26,0.04453,Binance
76458.27,0.09097,Binance
76458.3,0.10098,Binance
76458.35,0.09098,Binance
76458.39,0.04453,Binance
76458.44,0.09097,Binance
76458.58,0.09897,Binance
76458.68,0.13451,Binance
76458.71,0.09098,Binance
