Price,Size,Side
27755.6,0.25,sell
27755.5,0.18232,sell
27755.5,0.19306,sell
27755.4,0.398,sell
27755.4,0.00065,sell
27755.3,0.00056,sell
27755.3,4.5805,sell
27755.3,0.00204,sell
27755.3,0.00041,sell
27755.2,0.00111,sell
27755.2,0.00017669,sell
27755.1,0.220028,sell
27755,0.00053,sell
27755,0.203146,sell
27755,0.18842,sell
27754.9,0.119,sell
27754.9,0.17561,sell
27754.9,0.00113827,sell
27754.8,0.00039,sell
27754.8,0.00051,sell
27754.8,0.197544,sell
27754.8,0.18,sell
27754.8,0.00239,sell
27754.7,0.00030785,sell
27754.7,0.00048,sell
27754.6,0.00018321,sell
27754.5,0.00133,sell
27754.5,0.00225537,sell
27754.4,0.00046,sell
27754.4,1.95405,sell
27754.4,0.09017,sell
27754.3,0.0008,sell
27754.3,0.462423,sell
27754.2,0.17,sell
27754.2,0.031,sell
27754.1,1.10079,sell
27754.1,0.00037,sell
27754,7.13e-05,sell
27754,0.00042,sell
27754,0.00111,sell
27753.9,0.0211029,sell
27753.8,0.00112,sell
27753.8,0.19765,sell
27753.8,0.00098,sell
27753.7,0.01689,sell
27753.7,0.122994,sell
27753.6,0.00145,sell
27753.6,0.0004,sell
27753.6,0.34654,sell
27753.5,0.25,sell
27753.5,0.15229,sell
27753.5,0.00084969,sell
27753.5,0.00048,sell
27753.4,0.00055,sell
27753.4,5.091e-05,sell
27753.4,0.00042,sell
27753.3,0.00225,sell
27753.3,0.00037,sell
27753.3,0.00035908,sell
27753.2,0.00349,sell
27753.2,0.00075018,sell
27753,0.00508,sell
27753,0.290772,sell
27752.7,0.0004,sell
27752.7,0.19755,sell
27752.7,0.00054,sell
27752.7,0.00039,sell
27752.6,0.03676,sell
27752.5,0.00045,sell
27752.4,5.00165,sell
27752.4,0.00218,sell
27752.3,0.01623,sell
27752.3,0.00037,sell
27752.2,0.00645,sell
27752.2,0.00052,sell
27752.2,0.202428,sell
27752.1,0.00152,sell
27752.1,0.199801,sell
27752.1,0.00056,sell
27752,0.121713,sell
27752,0.001,sell
27751.9,0.00134,sell
27751.8,0.00042,sell
27751.7,0.25,sell
27751.6,3.60255,sell
27751.6,0.00038,sell
27751.6,0.00042,sell
27751.6,4.032e-05,sell
27751.5,0.00646,sell
27751.5,1.15e-05,sell
27751.5,0.00878,sell
27751.4,0.03611,sell
27751.4,2.16162,sell
27751.2,0.1968,sell
27751.1,2.57e-05,sell
27751,0.010036,sell
27751,0.00049,sell
27750.9,0.0411973,sell
27750.9,0.02048,sell
27750.8,0.723208,sell
27750.8,0.0005,sell
27750.8,0.00161,sell
27750.8,0.00223,sell
27750.6,0.00042,sell
27750.5,1.80974,sell
27750.4,0.00037,sell
27750.4,0.19677,sell
27750.4,0.44028,sell
27750.4,0.00364,sell
27750.3,0.05415,sell
27750.2,0.00204,sell
27750.2,0.00061858,sell
27750.1,1.91926,sell
27750.1,0.00064,sell
27750,0.00052,sell
27750,0.0219,sell
27750,1.07656,sell
27750,0.172641,sell
27750,0.73445,sell
27749.9,0.18788,sell
27749.9,1.15237,sell
27749.9,0.00128,sell
27749.8,0.00441,sell
27749.8,0.00424,sell
27749.8,0.43318,sell
27749.8,0.25998,sell
27749.8,0.0152994,sell
27749.8,0.00644,sell
27749.7,0.00038,sell
27749.7,0.20016,sell
27749.6,0.0164,sell
27749.6,0.052806,sell
27749.6,0.00171,sell
27749.5,0.00373861,sell
27749.5,0.00099,sell
27749.4,0.00185,sell
27749.4,0.00156,sell
27749.3,0.0002872,sell
27749.2,0.00239,sell
27749.1,0.0097,sell
27749.1,0.00041,sell
27749.1,0.00564186,sell
27749,0.07026,sell
27749,0.108403,sell
27749,0.00062,sell
27749,0.00084,sell
27749,0.0013,sell
27748.9,0.196531,sell
27748.9,0.00043,sell
27748.9,0.00045,sell
27748.8,0.00097709,sell
27748.8,0.00054,sell
27748.8,0.00048,sell
27748.7,0.0009,sell
27748.7,0.00037,sell
27748.6,0.00064,sell
27748.5,0.00047,sell
27748.5,0.207978,sell
27748.5,0.00067,sell
27748.4,0.124821,sell
27748.4,0.47644,sell
27748.3,0.03201,sell
27748.3,0.045,sell
27748.3,0.00047,sell
27748.2,0.0533,sell
27748.2,0.0004,sell
27748.1,1.983e-05,sell
27748,0.043,sell
27748,0.45,sell
27748,0.28591,sell
27747.9,0.00647641,sell
27747.9,0.00081,sell
27747.9,0.00094,sell
27747.8,0.00299,sell
27747.8,0.197871,sell
27747.8,0.00171,sell
27747.6,0.00039,sell
27747.5,0.00044,sell
27747.5,0.270023,sell
27747.5,0.00057,sell
27747.4,0.00074,sell
27747.4,0.00207,sell
27747.4,0.0004,sell
27747.4,0.00373,sell
27747.3,0.00205523,sell
27747.3,0.00201,sell
27747.2,0.00038,sell
27747.2,0.03798,sell
27747.2,0.00086,sell
27747.1,0.02148,sell
27747.1,0.005,sell
27747.1,5.502e-05,sell
27747.1,0.285,sell
27747.1,0.00056,sell
27747.1,0.00143,sell
27747.1,0.00112,sell
27747,0.01093,sell
27747,0.00058,sell
27747,0.802772,sell
27747,0.00259,sell
27747,0.00039,sell
27746.9,0.00074,sell
27746.9,0.1,sell
27746.9,0.0038,sell
27746.8,0.00076,sell
27746.8,1.703e-05,sell
27746.7,0.250014,sell
27746.7,0.00174,sell
27746.6,0.15917,sell
27746.6,0.11365,sell
27746.6,0.677206,sell
27746.5,0.00041,sell
27746.5,0.00046,sell
27746.5,4.548e-05,sell
27746.5,0.09185,sell
27746.4,0.289652,sell
27746.4,0.971,sell
27746.3,0.08721,sell
27746.3,0.02871,sell
27746.2,0.00045286,sell
27746.1,0.505019,sell
27746.1,0.18034,sell
27746,0.01004,sell
27746,0.76527,sell
27746,0.0007,sell
27745.9,0.2164,sell
27745.9,4.62865,sell
27745.8,0.19554,sell
27745.8,0.00155,sell
27745.7,0.01,sell
27745.7,0.00042,sell
27745.7,1.014e-05,sell
27745.7,0.00605,sell
27745.7,0.009,sell
27745.6,0.00061,sell
27745.6,0.00060685,sell
27745.5,0.00073,sell
